,data,valor
0,1986-03-06,0.068111
1,1986-03-10,0.069028
2,1986-03-12,0.067417
3,1986-03-14,0.064584
4,1986-03-17,0.068222
5,1986-03-18,0.066528
6,1986-03-19,0.06575
7,1986-03-20,0.064639
8,1986-03-21,0.065418
9,1986-03-24,0.0655
10,1986-03-25,0.06625
11,1986-03-26,0.06625
12,1986-03-31,0.066917
13,1986-04-01,0.064806
14,1986-04-02,0.064833
15,1986-04-03,0.065611
16,1986-04-04,0.065418
17,1986-04-07,0.065639
18,1986-04-08,0.065083
19,1986-04-09,0.065083
20,1986-04-10,0.064833
21,1986-04-11,0.064749
22,1986-04-14,0.06475
23,1986-04-15,0.064167
24,1986-04-16,0.064861
25,1986-04-17,0.064972
26,1986-04-18,0.064
27,1986-04-22,0.064639
28,1986-04-23,0.064833
29,1986-04-24,0.064694
30,1986-04-25,0.064416
31,1986-04-28,0.064806
32,1986-04-29,0.065
33,1986-04-30,0.064556
34,1986-05-02,0.064833
35,1986-05-05,0.065278
36,1986-05-06,0.06575
37,1986-05-07,0.065639
38,1986-05-08,0.065361
39,1986-05-09,0.065166
40,1986-05-12,0.065639
41,1986-05-13,0.065444
42,1986-05-14,0.065778
43,1986-05-15,0.065722
44,1986-05-16,0.065418
45,1986-05-19,0.065639
46,1986-05-20,0.065361
47,1986-05-21,0.065389
48,1986-05-22,0.065417
49,1986-05-23,0.065224
50,1986-05-27,0.065194
51,1986-05-28,0.06575
52,1986-05-29,0.067111
53,1986-05-30,0.067668
54,1986-06-02,0.068472
55,1986-06-03,0.069472
56,1986-06-04,0.071556
57,1986-06-05,0.073139
58,1986-06-06,0.073584
59,1986-06-09,0.075222
60,1986-06-10,0.074806
61,1986-06-11,0.073861
62,1986-06-12,0.072694
63,1986-06-13,0.073668
64,1986-06-16,0.07375
65,1986-06-17,0.074111
66,1986-06-18,0.074833
67,1986-06-19,0.075222
68,1986-06-20,0.074166
69,1986-06-23,0.075556
70,1986-06-24,0.076139
71,1986-06-25,0.075667
72,1986-06-26,0.076361
73,1986-06-27,0.076167
74,1986-06-30,0.076833
75,1986-07-01,0.076694
76,1986-07-02,0.078167
77,1986-07-03,0.08375
78,1986-07-04,0.093501
79,1986-07-07,0.095694
80,1986-07-08,0.095361
81,1986-07-09,0.096139
82,1986-07-10,0.096944
83,1986-07-11,0.096666
84,1986-07-14,0.096306
85,1986-07-15,0.096056
86,1986-07-16,0.096361
87,1986-07-17,0.096639
88,1986-07-18,0.096417
89,1986-07-21,0.096528
90,1986-07-22,0.096778
91,1986-07-23,0.100806
92,1986-07-24,0.10225
93,1986-07-25,0.102084
94,1986-07-28,0.101722
95,1986-07-29,0.102
96,1986-07-30,0.102139
97,1986-07-31,0.102667
98,1986-08-01,0.103332
99,1986-08-04,0.102972
100,1986-08-05,0.103028
101,1986-08-06,0.103806
102,1986-08-07,0.104111
103,1986-08-08,0.123168
104,1986-08-11,0.142222
105,1986-08-12,0.144
106,1986-08-13,0.142056
107,1986-08-14,0.1465
108,1986-08-15,0.144999
109,1986-08-18,0.149389
110,1986-08-19,0.148889
