,data,valor
0,1989-06-01,19.68
1,1989-07-01,35.9
2,1989-08-01,36.92
3,1989-09-01,39.92
4,1989-10-01,40.64
5,1989-11-01,40.48
6,1989-12-01,47.13
7,1990-01-01,61.46
8,1990-02-01,81.29
9,1990-03-01,83.95
10,1990-04-01,28.35
11,1990-05-01,5.93
12,1990-06-01,9.94
13,1990-07-01,12.01
14,1990-08-01,13.62
15,1990-09-01,12.8
16,1990-10-01,12.97
17,1990-11-01,16.86
18,1990-12-01,18.0
19,1991-01-01,17.7
20,1991-02-01,21.02
21,1991-03-01,9.19
22,1991-04-01,7.81
23,1991-05-01,7.48
24,1991-06-01,8.48
25,1991-07-01,13.22
26,1991-08-01,15.25
27,1991-09-01,14.93
28,1991-10-01,22.63
29,1991-11-01,25.62
30,1991-12-01,23.63
31,1992-01-01,23.56
32,1992-02-01,27.86
33,1992-03-01,21.39
34,1992-04-01,19.94
35,1992-05-01,20.43
36,1992-06-01,23.61
37,1992-07-01,21.84
38,1992-08-01,24.63
39,1992-09-01,25.27
40,1992-10-01,26.76
41,1992-11-01,23.43
42,1992-12-01,25.08
43,1993-01-01,25.83
44,1993-02-01,28.41
45,1993-03-01,26.25
46,1993-04-01,28.83
47,1993-05-01,29.7
48,1993-06-01,31.5
49,1993-07-01,31.25
50,1993-08-01,31.79
51,1993-09-01,35.28
52,1993-10-01,35.04
53,1993-11-01,36.15
54,1993-12-01,38.32
55,1994-01-01,39.07
56,1994-02-01,40.78
57,1994-03-01,45.71
58,1994-04-01,40.91
59,1994-05-01,42.58
60,1994-06-01,45.21
61,1994-07-01,4.33
62,1994-08-01,3.94
63,1994-09-01,1.75
64,1994-10-01,1.82
65,1994-11-01,2.85
66,1994-12-01,0.84
67,1995-01-01,0.92
68,1995-02-01,1.39
69,1995-03-01,1.12
70,1995-04-01,2.1
71,1995-05-01,0.58
72,1995-06-01,2.46
73,1995-07-01,1.82
74,1995-08-01,2.2
75,1995-09-01,-0.71
76,1995-10-01,0.52
77,1995-11-01,1.2
78,1995-12-01,0.71
79,1996-01-01,1.73
80,1996-02-01,0.97
81,1996-03-01,0.4
82,1996-04-01,0.32
83,1996-05-01,1.55
84,1996-06-01,1.02
85,1996-07-01,1.35
86,1996-08-01,0.28
87,1996-09-01,0.1
88,1996-10-01,0.19
89,1996-11-01,0.2
90,1996-12-01,0.73
91,1997-01-01,1.77
92,1997-02-01,0.43
93,1997-03-01,1.15
94,1997-04-01,0.68
95,1997-05-01,0.21
96,1997-06-01,0.74
97,1997-07-01,0.09
98,1997-08-01,0.09
99,1997-09-01,0.48
100,1997-10-01,0.37
101,1997-11-01,0.64
102,1997-12-01,0.84
103,1998-01-01,0.96
104,1998-02-01,0.18
105,1998-03-01,0.19
106,1998-04-01,0.13
107,1998-05-01,0.14
108,1998-06-01,0.38
109,1998-07-01,-0.17
110,1998-08-01,-0.16
111,1998-09-01,-0.08
112,1998-10-01,0.08
113,1998-11-01,-0.32
114,1998-12-01,0.45
115,1999-01-01,0.84
116,1999-02-01,3.61
117,1999-03-01,2.83
118,1999-04-01,0.71
119,1999-05-01,-0.29
120,1999-06-01,0.36
121,1999-07-01,1.55
122,1999-08-01,1.56
123,1999-09-01,1.45
124,1999-10-01,1.7
125,1999-11-01,2.39
126,1999-12-01,1.81
127,2000-01-01,1.24
128,2000-02-01,0.35
129,2000-03-01,0.15
130,2000-04-01,0.23
131,2000-05-01,0.31
132,2000-06-01,0.85
133,2000-07-01,1.57
134,2000-08-01,2.39
135,2000-09-01,1.16
136,2000-10-01,0.38
137,2000-11-01,0.29
138,2000-12-01,0.63
139,2001-01-01,0.62
140,2001-02-01,0.23
141,2001-03-01,0.56
142,2001-04-01,1.0
143,2001-05-01,0.86
144,2001-06-01,0.98
145,2001-07-01,1.48
146,2001-08-01,1.38
147,2001-09-01,0.31
148,2001-10-01,1.18
149,2001-11-01,1.1
150,2001-12-01,0.22
151,2002-01-01,0.36
152,2002-02-01,0.06
153,2002-03-01,0.09
154,2002-04-01,0.56
155,2002-05-01,0.83
156,2002-06-01,1.54
157,2002-07-01,1.95
158,2002-08-01,2.32
159,2002-09-01,2.4
160,2002-10-01,3.87
161,2002-11-01,5.19
162,2002-12-01,3.75
163,2003-01-01,2.33
164,2003-02-01,2.28
165,2003-03-01,1.53
166,2003-04-01,0.92
167,2003-05-01,-0.26
168,2003-06-01,-1.0
169,2003-07-01,-0.42
170,2003-08-01,0.38
171,2003-09-01,1.18
172,2003-10-01,0.38
173,2003-11-01,0.49
174,2003-12-01,0.61
175,2004-01-01,0.88
176,2004-02-01,0.69
177,2004-03-01,1.13
178,2004-04-01,1.21
179,2004-05-01,1.31
180,2004-06-01,1.38
181,2004-07-01,1.31
182,2004-08-01,1.22
183,2004-09-01,0.69
184,2004-10-01,0.39
185,2004-11-01,0.82
186,2004-12-01,0.74
187,2005-01-01,0.39
188,2005-02-01,0.3
