,data,valor
0,1944-02-01,0.57
1,1944-03-01,3.96
2,1944-04-01,2.33
3,1944-05-01,-0.54
4,1944-06-01,1.21
5,1944-07-01,1.45
6,1944-08-01,-2.08
7,1944-09-01,4.94
8,1944-10-01,1.13
9,1944-11-01,2.14
10,1944-12-01,0.12
11,1945-01-01,-4.42
12,1945-02-01,-0.64
13,1945-03-01,0.0
14,1945-04-01,3.48
15,1945-05-01,0.26
16,1945-06-01,1.61
17,1945-07-01,1.24
18,1945-08-01,0.84
19,1945-09-01,2.52
20,1945-10-01,1.17
21,1945-11-01,4.07
22,1945-12-01,1.56
23,1946-01-01,5.26
24,1946-02-01,0.92
25,1946-03-01,-0.52
26,1946-04-01,0.63
27,1946-05-01,1.13
28,1946-06-01,0.31
29,1946-07-01,1.41
30,1946-08-01,1.61
31,1946-09-01,3.35
32,1946-10-01,0.09
33,1946-11-01,0.77
34,1946-12-01,0.19
35,1947-01-01,2.93
36,1947-02-01,1.64
37,1947-03-01,0.36
38,1947-04-01,-0.36
39,1947-05-01,4.52
40,1947-06-01,0.52
41,1947-07-01,0.6
42,1947-08-01,1.29
43,1947-09-01,-0.18
44,1947-10-01,0.34
45,1947-11-01,-0.16
46,1947-12-01,-0.09
47,1948-01-01,1.26
48,1948-02-01,-0.08
49,1948-03-01,0.17
50,1948-04-01,0.5
51,1948-05-01,0.08
52,1948-06-01,0.17
53,1948-07-01,0.08
54,1948-08-01,0.0
55,1948-09-01,0.0
56,1948-10-01,0.41
57,1948-11-01,0.0
58,1948-12-01,0.57
59,1949-01-01,-0.9
60,1949-02-01,-0.16
61,1949-03-01,1.65
62,1949-04-01,0.56
63,1949-05-01,0.57
64,1949-06-01,1.28
65,1949-07-01,1.11
66,1949-08-01,3.6
67,1949-09-01,1.98
68,1949-10-01,0.81
69,1949-11-01,0.59
70,1949-12-01,0.21
71,1950-01-01,-2.04
72,1950-02-01,1.26
73,1950-03-01,0.89
74,1950-04-01,0.94
75,1950-05-01,0.59
76,1950-06-01,-1.67
77,1950-07-01,-4.17
78,1950-08-01,0.76
79,1950-09-01,-0.38
80,1950-10-01,4.64
81,1950-11-01,0.0
82,1950-12-01,1.23
83,1951-01-01,0.4
84,1951-02-01,0.89
85,1951-03-01,-0.88
86,1951-04-01,2.78
87,1951-05-01,0.19
88,1951-06-01,5.01
89,1951-07-01,0.37
90,1951-08-01,3.11
91,1951-09-01,-0.35
92,1951-10-01,1.07
93,1951-11-01,0.18
94,1951-12-01,-0.53
95,1952-01-01,-0.71
96,1952-02-01,0.0
97,1952-03-01,1.96
98,1952-04-01,1.92
99,1952-05-01,0.0
100,1952-06-01,-0.68
101,1952-07-01,1.29
102,1952-08-01,0.6
103,1952-09-01,0.0
104,1952-10-01,0.59
105,1952-11-01,0.0
106,1952-12-01,2.44
107,1953-01-01,-1.15
108,1953-02-01,1.16
109,1953-03-01,-0.57
110,1953-04-01,4.13
111,1953-05-01,-2.22
112,1953-06-01,6.97
113,1953-07-01,0.0
114,1953-08-01,-0.53
115,1953-09-01,1.6
116,1953-10-01,1.13
117,1953-11-01,1.04
118,1953-12-01,0.0
119,1954-01-01,0.51
120,1954-02-01,0.58
121,1954-03-01,2.54
122,1954-04-01,0.0
123,1954-05-01,4.96
124,1954-06-01,1.75
125,1954-07-01,3.45
126,1954-08-01,2.82
127,1954-09-01,11.41
128,1954-10-01,-1.45
129,1954-11-01,0.97
130,1954-12-01,1.01
131,1955-01-01,-1.45
132,1955-02-01,0.0
133,1955-03-01,0.45
134,1955-04-01,1.46
135,1955-05-01,-0.94
136,1955-06-01,0.5
137,1955-07-01,0.95
138,1955-08-01,0.0
139,1955-09-01,8.66
140,1955-10-01,-0.86
141,1955-11-01,0.0
142,1955-12-01,0.0
143,1956-01-01,2.2
144,1956-02-01,2.2
145,1956-03-01,1.72
146,1956-04-01,-2.12
147,1956-05-01,0.89
148,1956-06-01,5.51
149,1956-07-01,0.79
