,data,valor
0,1944-02-01,0.0
1,1944-03-01,-0.52
2,1944-04-01,2.95
3,1944-05-01,0.16
4,1944-06-01,1.86
5,1944-07-01,1.48
6,1944-08-01,1.79
7,1944-09-01,2.56
8,1944-10-01,0.0
9,1944-11-01,-0.32
10,1944-12-01,0.47
11,1945-01-01,4.05
12,1945-02-01,1.94
13,1945-03-01,-0.44
14,1945-04-01,-0.73
15,1945-05-01,2.37
16,1945-06-01,0.87
17,1945-07-01,1.72
18,1945-08-01,-0.85
19,1945-09-01,0.0
20,1945-10-01,0.85
21,1945-11-01,-0.15
22,1945-12-01,0.0
23,1946-01-01,1.98
24,1946-02-01,0.97
25,1946-03-01,1.79
26,1946-04-01,1.62
27,1946-05-01,1.45
28,1946-06-01,3.01
29,1946-07-01,2.41
30,1946-08-01,1.86
31,1946-09-01,0.37
32,1946-10-01,1.21
33,1946-11-01,0.0
34,1946-12-01,1.45
35,1947-01-01,1.89
36,1947-02-01,0.69
37,1947-03-01,0.11
38,1947-04-01,-1.03
39,1947-05-01,0.24
40,1947-06-01,-0.24
41,1947-07-01,-1.39
42,1947-08-01,-0.94
43,1947-09-01,0.36
44,1947-10-01,0.94
45,1947-11-01,2.0
46,1947-12-01,0.11
47,1948-01-01,1.84
48,1948-02-01,3.85
49,1948-03-01,0.0
50,1948-04-01,-1.2
51,1948-05-01,-0.66
52,1948-06-01,1.33
53,1948-07-01,-0.76
54,1948-08-01,2.31
55,1948-09-01,-0.11
56,1948-10-01,0.32
57,1948-11-01,0.43
58,1948-12-01,-0.32
59,1949-01-01,2.57
60,1949-02-01,0.64
61,1949-03-01,-0.63
62,1949-04-01,0.32
63,1949-05-01,-1.67
64,1949-06-01,-0.43
65,1949-07-01,0.75
66,1949-08-01,0.84
67,1949-09-01,1.47
68,1949-10-01,0.62
69,1949-11-01,1.03
70,1949-12-01,-0.41
71,1950-01-01,-1.02
72,1950-02-01,-2.16
73,1950-03-01,-1.9
74,1950-04-01,-1.4
75,1950-05-01,0.22
76,1950-06-01,1.19
77,1950-07-01,3.66
78,1950-08-01,3.21
79,1950-09-01,1.51
80,1950-10-01,3.96
81,1950-11-01,1.9
82,1950-12-01,1.87
83,1951-01-01,2.76
84,1951-02-01,0.89
85,1951-03-01,1.77
86,1951-04-01,2.61
87,1951-05-01,1.7
88,1951-06-01,-0.83
89,1951-07-01,-1.68
90,1951-08-01,1.71
91,1951-09-01,0.84
92,1951-10-01,3.33
93,1951-11-01,1.61
94,1951-12-01,1.59
95,1952-01-01,4.69
96,1952-02-01,-2.24
97,1952-03-01,-0.76
98,1952-04-01,2.31
99,1952-05-01,-0.75
100,1952-06-01,0.0
101,1952-07-01,2.28
102,1952-08-01,0.74
103,1952-09-01,-1.47
104,1952-10-01,1.49
105,1952-11-01,2.94
106,1952-12-01,0.0
107,1953-01-01,0.71
108,1953-02-01,1.41
109,1953-03-01,0.7
110,1953-04-01,-0.69
111,1953-05-01,0.0
112,1953-06-01,2.1
113,1953-07-01,10.96
114,1953-08-01,0.0
115,1953-09-01,1.24
116,1953-10-01,1.22
117,1953-11-01,3.02
118,1953-12-01,2.34
119,1954-01-01,0.08
120,1954-02-01,1.05
121,1954-03-01,0.0
122,1954-04-01,3.63
123,1954-05-01,1.5
124,1954-06-01,3.45
125,1954-07-01,1.43
126,1954-08-01,1.88
127,1954-09-01,2.3
128,1954-10-01,0.9
129,1954-11-01,2.23
130,1954-12-01,1.75
131,1955-01-01,3.0
132,1955-02-01,-0.83
133,1955-03-01,0.84
134,1955-04-01,2.08
135,1955-05-01,-0.41
136,1955-06-01,0.82
137,1955-07-01,1.63
138,1955-08-01,2.4
139,1955-09-01,2.34
140,1955-10-01,1.15
141,1955-11-01,1.13
142,1955-12-01,1.12
143,1956-01-01,-0.37
144,1956-02-01,1.85
145,1956-03-01,1.82
146,1956-04-01,2.5
147,1956-05-01,2.79
148,1956-06-01,3.39
149,1956-07-01,2.29
150,1956-08-01,2.24
151,1956-09-01,2.51
152,1956-10-01,2.45
153,1956-11-01,1.19
154,1956-12-01,0.59
155,1957-01-01,4.99
156,1957-02-01,-0.28
157,1957-03-01,-0.28
158,1957-04-01,-1.97
159,1957-05-01,-0.29
160,1957-06-01,-0.57
161,1957-07-01,0.87
