,data,valor
0,2000-05-01,0.09
1,2000-06-01,0.08
2,2000-07-01,0.78
3,2000-08-01,1.99
4,2000-09-01,0.45
5,2000-10-01,0.18
6,2000-11-01,0.17
7,2000-12-01,0.6
8,2001-01-01,0.63
9,2001-02-01,0.5
10,2001-03-01,0.36
11,2001-04-01,0.5
12,2001-05-01,0.49
13,2001-06-01,0.38
14,2001-07-01,0.94
15,2001-08-01,1.18
16,2001-09-01,0.38
17,2001-10-01,0.37
18,2001-11-01,0.99
19,2001-12-01,0.55
20,2002-01-01,0.62
21,2002-02-01,0.44
22,2002-03-01,0.4
23,2002-04-01,0.78
24,2002-05-01,0.42
25,2002-06-01,0.33
26,2002-07-01,0.77
27,2002-08-01,1.0
28,2002-09-01,0.62
29,2002-10-01,0.9
30,2002-11-01,2.08
31,2002-12-01,3.05
32,2003-01-01,1.98
33,2003-02-01,2.19
34,2003-03-01,1.14
35,2003-04-01,1.14
36,2003-05-01,0.85
37,2003-06-01,0.22
38,2003-07-01,-0.18
39,2003-08-01,0.27
40,2003-09-01,0.57
41,2003-10-01,0.66
42,2003-11-01,0.17
43,2003-12-01,0.46
44,2004-01-01,0.68
45,2004-02-01,0.9
46,2004-03-01,0.4
47,2004-04-01,0.21
48,2004-05-01,0.54
49,2004-06-01,0.56
50,2004-07-01,0.93
51,2004-08-01,0.79
52,2004-09-01,0.49
53,2004-10-01,0.32
54,2004-11-01,0.63
55,2004-12-01,0.84
56,2005-01-01,0.68
57,2005-02-01,0.74
58,2005-03-01,0.35
59,2005-04-01,0.74
60,2005-05-01,0.83
61,2005-06-01,0.12
62,2005-07-01,0.11
63,2005-08-01,0.28
64,2005-09-01,0.16
65,2005-10-01,0.56
66,2005-11-01,0.78
67,2005-12-01,0.38
68,2006-01-01,0.51
69,2006-02-01,0.52
70,2006-03-01,0.37
71,2006-04-01,0.17
72,2006-05-01,0.27
73,2006-06-01,-0.15
74,2006-07-01,-0.02
75,2006-08-01,0.19
76,2006-09-01,0.05
77,2006-10-01,0.29
78,2006-11-01,0.37
79,2006-12-01,0.35
80,2007-01-01,0.52
81,2007-02-01,0.46
82,2007-03-01,0.41
83,2007-04-01,0.22
84,2007-05-01,0.26
85,2007-06-01,0.29
86,2007-07-01,0.24
87,2007-08-01,0.42
88,2007-09-01,0.29
89,2007-10-01,0.24
90,2007-11-01,0.23
91,2007-12-01,0.7
92,2008-01-01,0.7
93,2008-02-01,0.64
94,2008-03-01,0.23
95,2008-04-01,0.59
96,2008-05-01,0.56
97,2008-06-01,0.9
98,2008-07-01,0.63
99,2008-08-01,0.35
100,2008-09-01,0.26
101,2008-10-01,0.3
102,2008-11-01,0.49
103,2008-12-01,0.29
104,2009-01-01,0.4
105,2009-02-01,0.63
106,2009-03-01,0.11
107,2009-04-01,0.36
108,2009-05-01,0.59
109,2009-06-01,0.38
110,2009-07-01,0.22
111,2009-08-01,0.23
112,2009-09-01,0.19
113,2009-10-01,0.18
114,2009-11-01,0.44
115,2009-12-01,0.38
116,2010-01-01,0.52
117,2010-02-01,0.94
118,2010-03-01,0.55
119,2010-04-01,0.48
120,2010-05-01,0.63
121,2010-06-01,0.19
122,2010-07-01,-0.09
123,2010-08-01,-0.05
124,2010-09-01,0.31
125,2010-10-01,0.62
126,2010-11-01,0.86
127,2010-12-01,0.69
128,2011-01-01,0.76
129,2011-02-01,0.97
130,2011-03-01,0.6
131,2011-04-01,0.77
132,2011-05-01,0.7
133,2011-06-01,0.23
134,2011-07-01,0.1
135,2011-08-01,0.27
136,2011-09-01,0.53
137,2011-10-01,0.42
138,2011-11-01,0.46
139,2011-12-01,0.56
140,2012-01-01,0.65
141,2012-02-01,0.53
142,2012-03-01,0.25
143,2012-04-01,0.43
144,2012-05-01,0.51
145,2012-06-01,0.18
146,2012-07-01,0.33
147,2012-08-01,0.39
148,2012-09-01,0.48
149,2012-10-01,0.65
150,2012-11-01,0.54
151,2012-12-01,0.69
152,2013-01-01,0.88
153,2013-02-01,0.68
154,2013-03-01,0.49
155,2013-04-01,0.51
156,2013-05-01,0.46
157,2013-06-01,0.38
158,2013-07-01,0.07
159,2013-08-01,0.16
160,2013-09-01,0.27
161,2013-10-01,0.48
162,2013-11-01,0.57
163,2013-12-01,0.75
164,2014-01-01,0.67
165,2014-02-01,0.7
166,2014-03-01,0.73
167,2014-04-01,0.78
168,2014-05-01,0.58
169,2014-06-01,0.47
170,2014-07-01,0.17
